date, gini
2009-12-07, 0.15100142544566686
2010-05-01, 0.4179149490975489
2010-01-10, 0.15956281796738903
2009-03-10, 0.10560944390989221
2009-06-25, 0.10220141628924531
2010-10-08, 0.7421456940647732
2009-03-28, 0.10978247270764635
2010-09-10, 0.685363912056547
2010-09-20, 0.7031367912074508
2010-12-17, 0.8196367192258129
2009-08-10, 0.11113544951285141
2010-03-30, 0.30972008285375346
2009-03-01, 0.10225231785008732
2010-03-12, 0.2904738765940746
2010-06-02, 0.46927590639753236
2010-11-06, 0.7730952752616572
2010-03-25, 0.2975057644048605
2010-07-15, 0.5790129419860731
2010-12-06, 0.8098194429940296
2010-02-03, 0.16568893854145847
2010-09-16, 0.6918566702586475
2010-06-27, 0.4980381540011821
2010-07-19, 0.5940152525754725
2010-05-27, 0.4651691194221253
2010-09-25, 0.7114802677555006
2009-05-29, 0.10721610602647026
2009-09-29, 0.12214766970804285
2010-11-26, 0.801735844718362
2010-10-18, 0.756538061210505
2010-07-24, 0.6071626619015031
2010-07-14, 0.5415476965281484
2009-04-06, 0.11213694560131243
2010-12-02, 0.8069017902054848
2010-08-29, 0.6735353020081246
2010-09-04, 0.6796892702395485
2010-08-03, 0.6366246511492808
2010-01-23, 0.1636142429793186
2009-10-27, 0.1389168161793176
2009-11-13, 0.14373643803274905
2010-08-18, 0.6610008505081083
2010-02-28, 0.25404535918561183
2010-06-21, 0.4943230556309094
2009-02-20, 0.10248219449612452
2009-03-19, 0.11106848902111952
2010-10-23, 0.7623671585743755
2010-10-14, 0.7517128741841991
2009-02-12, 0.10021839756377333
2010-06-15, 0.48839782812634347
2010-11-10, 0.7818136002559354
2009-10-14, 0.12456981194754531
2009-01-27, 0.08893917485701591
2010-11-15, 0.78529028991636
2009-12-22, 0.16912767820409466
2010-01-04, 0.15966540258203796
2010-12-23, 0.8243946041018378
2010-08-08, 0.6461890249122229
2009-04-15, 0.10472069778624987
2010-07-09, 0.5186027605980907
2010-07-03, 0.5095508855933266
2010-06-09, 0.48033710606581287
2009-11-25, 0.14415013703030666
2009-01-19, 0.032750236011532624
2010-04-19, 0.40261618664805565
2010-01-29, 0.16497921427745962
2010-03-06, 0.27483193801916006
2009-06-12, 0.10114465780714121
2009-09-01, 0.11072775790658355
2010-11-20, 0.797448688016161
2010-04-05, 0.3096384054031713
2009-05-19, 0.10660277009351012
2010-05-08, 0.43323348837914605
2009-12-16, 0.1741643038830126
2010-02-13, 0.228458412156765
2009-05-02, 0.11231218191349404
2010-04-15, 0.3347247072795463
2010-08-13, 0.6545143420507205
2010-10-27, 0.7663587624761827
2010-01-16, 0.16715800040359952
2009-07-22, 0.10597727665088419
2009-04-23, 0.11580890438978643
2010-12-11, 0.8125324776653674
2010-04-25, 0.4127526274336357
2010-08-24, 0.6686257166219821
2009-01-03, 0.0
2009-05-11, 0.11191200790393337
2010-11-01, 0.770749483365272
2010-07-12, 0.5339362624741736
2009-02-04, 0.08456860278524675
2010-04-10, 0.32652214808416014
2010-02-22, 0.24834748234591214
2010-05-16, 0.44923986580148717
2009-12-28, 0.1643694706119104
2010-07-29, 0.6308007813571047
2009-09-16, 0.10827307475218513
2010-03-20, 0.2954970004548189
2009-07-07, 0.0994566043896289
2010-05-22, 0.45672741722798715
2010-02-08, 0.17690869816625834
2010-02-18, 0.2353372341756763
2010-10-01, 0.7333419154115424
